fold,t,n_essential,N_subset,coverage,pos_rate(y=1),Accuracy,F1_1,Precision_1,Recall_1,AUC
3,0.2,0,389314,0.6488566666666666,0.00043666551934941973,0.5329887956764976,0.0009780649698887865,0.000489489720715865,0.5235294117647059,0.5365894040736169
4,0.2,0,381626,0.6360433333333333,0.0005266936739111067,0.607948619852945,0.0013216300103460934,0.0006617027818252302,0.4925373134328358,0.603519969791209
5,0.2,0,367694,0.6128233333333334,8.974854090629708e-05,0.5565959738260619,0.0003923948964138785,0.0001962371525989158,0.9696969696969697,0.8789293546352359
1,0.2,1,178758,0.29793,1.0,0.5514830105505768,0.7109107954135718,1.0,0.5514830105505768,
2,0.2,1,166279,0.27713166666666667,1.0,0.6224838975456912,0.7673221268788109,1.0,0.6224838975456912,
3,0.2,1,152248,0.2537466666666667,1.0,0.528243392359834,0.6913079356347133,1.0,0.528243392359834,
4,0.2,1,159656,0.26609333333333335,1.0,0.47676253945983865,0.6456861231518318,1.0,0.47676253945983865,
5,0.2,1,168298,0.28049666666666667,1.0,0.5592698665462453,0.7173483930463147,1.0,0.5592698665462453,
1,0.2,2,29867,0.049778333333333334,1.0,0.6458298456490441,0.7848075514687932,1.0,0.6458298456490441,
2,0.2,2,24217,0.040361666666666664,1.0,0.7659908328859891,0.867491290013328,1.0,0.7659908328859891,
3,0.2,2,19240,0.03206666666666667,1.0,0.5873700623700624,0.7400543531645984,1.0,0.5873700623700624,
4,0.2,2,21503,0.03583833333333333,1.0,0.5653164674696554,0.7223030987254523,1.0,0.5653164674696554,
5,0.2,2,25482,0.04247,1.0,0.6735342594772781,0.8049243756595147,1.0,0.6735342594772781,
1,0.2,3,1681,0.0028016666666666667,1.0,0.7257584770969661,0.8410892795587728,1.0,0.7257584770969661,
2,0.2,3,1122,0.00187,1.0,0.8663101604278075,0.9283667621776505,1.0,0.8663101604278075,
3,0.2,3,816,0.00136,1.0,0.6348039215686274,0.7766116941529235,1.0,0.6348039215686274,
4,0.2,3,913,0.0015216666666666666,1.0,0.6527929901423878,0.7899271040424122,1.0,0.6527929901423878,
5,0.2,3,1255,0.0020916666666666666,1.0,0.7713147410358566,0.8708951866846605,1.0,0.7713147410358566,
1,0.3,0,330488,0.5508133333333334,0.00014221393817627267,0.5502075718331679,0.00025556698881558154,0.00012782389903257492,0.40425531914893614,0.5086608952691011
2,0.3,0,355293,0.592155,8.162277331667103e-05,0.561618157408111,0.0002567492971487991,0.00012839854909639522,0.6896551724137931,0.619071334615074
3,0.3,0,372915,0.621525,0.00042905219688132686,0.5332287518603435,0.0009871554999483466,0.0004940314112064707,0.5375,0.5371383348311893
4,0.3,0,366758,0.6112633333333334,0.0005125995888296915,0.6113295415505592,0.0013171169151440423,0.0006594270000280608,0.5,0.6074884901957711
5,0.3,0,352434,0.58739,9.363455285244897e-05,0.5582038055352208,0.0004108674438909147,0.0002054772530259736,0.9696969696969697,0.8749988498811573
1,0.3,1,170177,0.2836283333333333,1.0,0.5539115156572275,0.7129254273181063,1.0,0.5539115156572275,
2,0.3,1,159456,0.26576,1.0,0.6273203893237006,0.7709857179192713,1.0,0.6273203893237006,
3,0.3,1,145147,0.24191166666666666,1.0,0.530200417507768,0.6929816662464431,1.0,0.530200417507768,
4,0.3,1,152435,0.25405833333333333,1.0,0.4763800964345459,0.645335300286156,1.0,0.4763800964345459,
5,0.3,1,160752,0.26792,1.0,0.5624937792375834,0.7199949039311394,1.0,0.5624937792375834,
1,0.3,2,28475,0.04745833333333333,1.0,0.6523266022827041,0.7895855472901169,1.0,0.6523266022827041,
2,0.3,2,23377,0.038961666666666665,1.0,0.7743508576806263,0.8728272137708238,1.0,0.7743508576806263,
3,0.3,2,18288,0.03048,1.0,0.5914807524059492,0.7433087098436694,1.0,0.5914807524059492,
4,0.3,2,20478,0.03413,1.0,0.568317218478367,0.7247477892639184,1.0,0.568317218478367,
5,0.3,2,24354,0.04059,1.0,0.6815307547014864,0.8106075405352607,1.0,0.6815307547014864,
1,0.3,3,1597,0.0026616666666666668,1.0,0.73888541014402,0.8498379546272956,1.0,0.73888541014402,
2,0.3,3,1095,0.001825,1.0,0.8776255707762557,0.9348249027237354,1.0,0.8776255707762557,
3,0.3,3,781,0.0013016666666666667,1.0,0.6440460947503202,0.7834890965732088,1.0,0.6440460947503202,
4,0.3,3,864,0.00144,1.0,0.6631944444444444,0.7974947807933194,1.0,0.6631944444444444,
5,0.3,3,1205,0.0020083333333333333,1.0,0.779253112033195,0.8759328358208955,1.0,0.779253112033195,
1,0.4,0,304540,0.5075666666666667,0.0001247783542391804,0.5534412556642806,0.00022054769343870614,0.00011030466147499394,0.39473684210526316,0.50984433081245
2,0.4,0,330938,0.5515633333333333,6.647770881554853e-05,0.5651844152076824,0.00022233184417316872,0.00011118291674484216,0.7272727272727273,0.6309756994084739
3,0.4,0,347936,0.5798933333333334,0.0004282396762623011,0.5333250942702106,0.0009844154725501897,0.0004926593753079121,0.5369127516778524,0.5374713362608754
4,0.4,0,343583,0.5726383333333334,0.0004831438109568867,0.6164653082370198,0.0013338183581908573,0.0006677492298119679,0.5301204819277109,0.6131411472742875
5,0.4,0,329591,0.5493183333333334,9.709002976416225e-05,0.5600638366945699,0.0004274064014449094,0.00021375035337760034,0.96875,0.8785158253150422
1,0.4,1,156809,0.26134833333333335,1.0,0.5591452021248781,0.7172458361964595,1.0,0.5591452021248781,
2,0.4,1,148986,0.24831,1.0,0.6346569476326634,0.7765016978660677,1.0,0.6346569476326634,
3,0.4,1,134306,0.22384333333333334,1.0,0.5343246020282042,0.6964948633710067,1.0,0.5343246020282042,
4,0.4,1,141435,0.235725,1.0,0.47546929685014316,0.6444990727562859,1.0,0.47546929685014316,
5,0.4,1,149263,0.24877166666666667,1.0,0.568037624863496,0.7245204016235847,1.0,0.568037624863496,
1,0.4,2,26299,0.043831666666666665,1.0,0.6631050610289365,0.7974301522703371,1.0,0.6631050610289365,
2,0.4,2,22033,0.036721666666666666,1.0,0.7875913402623338,0.8811760524044077,1.0,0.7875913402623338,
3,0.4,2,16835,0.028058333333333334,1.0,0.5976833976833977,0.7481875302078299,1.0,0.5976833976833977,
4,0.4,2,18836,0.031393333333333336,1.0,0.5726268846888936,0.7282425224495307,1.0,0.5726268846888936,
5,0.4,2,22663,0.03777166666666667,1.0,0.6935974937122181,0.8190818612891458,1.0,0.6935974937122181,
1,0.4,3,1476,0.00246,1.0,0.7560975609756098,0.8611111111111112,1.0,0.7560975609756098,
2,0.4,3,1056,0.00176,1.0,0.884469696969697,0.9386934673366835,1.0,0.884469696969697,
3,0.4,3,710,0.0011833333333333333,1.0,0.6563380281690141,0.7925170068027211,1.0,0.6563380281690141,
4,0.4,3,790,0.0013166666666666667,1.0,0.6835443037974683,0.8120300751879699,1.0,0.6835443037974683,
5,0.4,3,1117,0.0018616666666666666,1.0,0.7940913160250671,0.8852295409181636,1.0,0.7940913160250671,
